PPSX00| xenon| 1.34| 7.267441860465116| 112.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [737.407807840569, 52.57246071886615, 197.16223985668026, 0.9644535262408864, 108.80164427895613, 0.39353394769623873, 0.40803826932968046]
PPSX00| xenon| 1.34| 8.26453488372093| 112.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [693.9553037774722, 56.26248677311645, 199.44763908406634, 0.9601974208597078, 110.98804950275127, 0.3777867572089611, 0.3934469610121548]
PPSX00| xenon| 1.34| 9.261627906976745| 112.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [653.6392838952305, 59.38742319996774, 199.60793469329204, 0.9538802084355784, 112.571432108303, 0.3609153458759772, 0.37836548309132073]
PPSX00| xenon| 1.34| 10.258720930232558| 112.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [615.9940722767226, 61.99244367803278, 198.11806927519805, 0.9454318172458028, 113.8360538215076, 0.34395005006239804, 0.3638020677835666]
PPSX00| xenon| 1.34| 3.2790697674418605| 125.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1095.0804727670354, 35.22619211014165, 195.73827360931529, 0.9666627692395775, 87.90828246020745, 0.47218788644922755, 0.4884721967937926]
PPSX00| xenon| 1.34| 4.276162790697675| 125.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1016.4838693878854, 42.64064140128074, 217.8898624165192, 0.9757222464151029, 94.4543290269782, 0.47093543557316725, 0.4826531703088961]
PPSX00| xenon| 1.34| 5.273255813953488| 125.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [954.5291092899769, 49.378401278233426, 235.90201048942367, 0.9800169143944828, 99.24575853490138, 0.4646651957536006, 0.47413997547246467]
PPSX00| xenon| 1.34| 6.270348837209303| 125.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [901.8263538465558, 55.47325278451533, 249.87773008088345, 0.982014757661343, 102.97871433359127, 0.45552204510157285, 0.4638647653181844]
PPSX00| xenon| 1.34| 7.267441860465116| 125.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [854.9731090595388, 60.954114824666256, 260.1404180266089, 0.9826224044165452, 106.02993879419158, 0.4446517212110081, 0.45251534995788173]
PPSX00| xenon| 1.34| 8.26453488372093| 125.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [812.1873810783686, 65.84816275122361, 267.09155820037887, 0.9821521001453171, 108.5445076184012, 0.43241734132471366, 0.4402753313470837]
PPSX00| xenon| 1.34| 9.261627906976745| 125.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [772.4140479381572, 70.17889083584535, 271.11146126440326, 0.9807262452214764, 110.7983673960312, 0.4197807668573338, 0.4280305221795459]
PPSX00| xenon| 1.34| 10.258720930232558| 125.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [734.9893501979707, 73.96789668396845, 272.5830348133374, 0.9782829963302083, 112.57888071225378, 0.40586068545740345, 0.4148704280662052]
