5.256000000000000671e-01,9.831652968146495919e-01,5.256000000000000671e-01
3.356000000000000094e-01,9.831652968146495919e-01,3.356000000000000094e-01
3.048000000000000154e-01,9.831652968146495919e-01,3.048000000000000154e-01
2.916000000000000258e-01,9.831652968146495919e-01,2.916000000000000258e-01
2.919999999999999818e-01,9.831652968146495919e-01,2.919999999999999818e-01
2.999999999999999889e-01,9.831652968146495919e-01,2.999999999999999889e-01
3.215999999999999970e-01,9.831652968146495919e-01,3.215999999999999970e-01
3.511999999999999567e-01,9.831652968146495919e-01,3.511999999999999567e-01
3.920000000000000151e-01,9.831652968146495919e-01,3.920000000000000151e-01
4.452000000000000401e-01,9.831652968146495919e-01,4.452000000000000401e-01
5.732000000000000428e-01,9.831652968146495919e-01,5.732000000000000428e-01
7.992000000000000215e-01,9.831652968146495919e-01,7.992000000000000215e-01
9.387999999999999678e-01,9.831652968146495919e-01,9.387999999999999678e-01
9.704000000000000403e-01,9.831652968146495919e-01,9.704000000000000403e-01
9.828000000000000069e-01,9.831652968146495919e-01,9.828000000000000069e-01
9.899999999999999911e-01,9.831652968146495919e-01,9.831652968146495919e-01
9.948000000000000176e-01,9.831652968146495919e-01,9.831652968146495919e-01
9.971999999999999753e-01,9.831652968146495919e-01,9.831652968146495919e-01
1.019600000000000062e+00,9.831652968146495919e-01,9.831652968146495919e-01
1.019600000000000062e+00,9.831652968146495919e-01,9.831652968146495919e-01
