0.000000000000000000e+00,0.000000000000000000e+00,1.249614234638417120e+17,3.106660039718390170e+19,7.363544560198124422e+00,2.978124138663545750e+02,3.932465110990858648e+02,7.595341713155960498e+22,5.494691666620253470e-04,5.517271975933940597e+21,3.721506316194241741e+19
1.921832741138086503e-04,6.627009452200297718e-03,1.432940487389529440e+17,3.098731362989804339e+19,6.810845705453746568e+00,3.579771434852002017e+02,3.805466325693257090e+02,7.129016628713046095e+22,5.792841211077032985e-04,5.503191044849884201e+21,5.129599424599942758e+19
3.731281642403277412e-04,1.286648842208026541e-02,1.580143734844930560e+17,3.091563895778810266e+19,6.518414533226561502e+00,4.051850100800335213e+02,3.803313874508808681e+02,6.973852726877226638e+22,6.086372136565367788e-04,5.490461983582778819e+21,6.402505551310449869e+19
6.022018809810244762e-04,2.076558210279394467e-02,1.745614415221760960e+17,3.082575853931151770e+19,6.301434492864598447e+00,4.582189804840197667e+02,3.889672273212195819e+02,6.993417470605085010e+22,6.476513295556424969e-04,5.474499673329770693e+21,7.998736576611236250e+19
8.740215866007147250e-04,3.013867540002464554e-02,1.924990065348548160e+17,3.071732174834771968e+19,6.159581819452411011e+00,5.155621123817835496e+02,4.070779491098368794e+02,7.202830820777579145e+22,6.967514203005151056e-04,5.455241844655378137e+21,9.924519444050450842e+19
1.192114715600689793e-03,4.110740398623068115e-02,2.122964519180062080e+17,3.058485485464856576e+19,6.078988549225969429e+00,5.782981646096312716e+02,4.356254765196225094e+02,7.613705925079690170e+22,7.582799297156556399e-04,5.431716390598563856e+21,1.227706484973198213e+20
1.556520519573181827e-03,5.367312136459247152e-02,2.343109665525710080e+17,3.042242466435433677e+19,6.050217536513300409e+00,6.470778365810912192e+02,4.758896472180352930e+02,8.243754426122066985e+22,8.344847059507774648e-04,5.402869605771821187e+21,1.516174333240620810e+20
1.965849799499098851e-03,6.778792412065857975e-02,2.589003379740703680e+17,3.022267422856154317e+19,6.065644497197055784e+00,7.226414129352699547e+02,5.295559394606361820e+02,9.116592718891566131e+22,9.278547888251536179e-04,5.367394933052881764e+21,1.870921060430011433e+20
2.417065882807238261e-03,8.334709940714614407e-02,2.863619799578645440e+17,2.997691501245328179e+19,6.119150109399313031e+00,8.057553826494231544e+02,5.986736115949566965e+02,1.025996411799096577e+23,1.041005654069602961e-03,5.323749332358687359e+21,2.307377067371955814e+20
2.905697298887541507e-03,1.001964585823290066e-01,3.168906007722670080e+17,2.967525761457783603e+19,6.205807943670790472e+00,8.971883125319031933e+02,6.856048258851831179e+02,1.170305083726326084e+23,1.176579769269722872e-03,5.270176495731792151e+21,2.843105433640912486e+20
